"WebID","Area","Data_label","2016","2016%","2011","2011%","2006","2006%","2001","2001%","Data Type",
"10","Australia","Bosnia and Herzegovina","23956","0.1024","25678","0.1194","24614","0.1242","23841","0.1273","UR",
"10","Australia","Canada","43059","0.1840","38870","0.1808","31458","0.1588","27145","0.1450","UR",
"10","Australia","China","509563","2.1775","318965","1.4832","206240","1.0409","142652","0.7618","UR",
"10","Australia","Croatia","43681","0.1867","48828","0.2271","50945","0.2571","51817","0.2767","UR",
"10","Australia","Egypt","39772","0.1700","36530","0.1699","33454","0.1688","33387","0.1783","UR",
"10","Australia","Fiji","61480","0.2627","56980","0.2650","48073","0.2426","44210","0.2361","UR",
"10","Australia","North Macedonia","38989","0.1666","40221","0.1870","40645","0.2051","43526","0.2325","UR",
"10","Australia","Germany","102589","0.4384","108001","0.5022","106170","0.5359","107961","0.5766","UR",
"10","Australia","Greece","93737","0.4006","99937","0.4647","109913","0.5547","116318","0.6212","UR",
"10","Australia","Hong Kong","86881","0.3713","74955","0.3486","71723","0.3620","67070","0.3582","UR",
"10","Australia","India","455388","1.9460","295355","1.3734","146759","0.7407","95283","0.5089","UR",
"10","Australia","Indonesia","73200","0.3128","63143","0.2936","50885","0.2568","47099","0.2515","UR",
"10","Australia","Iraq","67355","0.2878","48074","0.2236","32480","0.1639","24815","0.1325","UR",
"10","Australia","Ireland","74894","0.3200","67315","0.3130","50049","0.2526","50019","0.2671","UR",
"10","Australia","Italy","174051","0.7438","185402","0.8621","198959","1.0042","218555","1.1672","UR",
"10","Australia","Japan","42424","0.1813","35369","0.1645","30666","0.1548","25411","0.1357","UR",
"10","Australia","Lebanon","78650","0.3361","76449","0.3555","74756","0.3773","71290","0.3807","UR",
"10","Australia","Malaysia","138371","0.5913","115790","0.5384","92186","0.4653","78788","0.4208","UR",
"10","Australia","Malta","37613","0.1607","41273","0.1919","43668","0.2204","46985","0.2509","UR",
"10","Australia","Netherlands","70175","0.2999","76048","0.3536","78691","0.3972","83095","0.4438","UR",
"10","Australia","New Zealand","518466","2.2156","483376","2.2478","387692","1.9567","353875","1.8899","UR",
"10","Australia","Papua New Guinea","28812","0.1231","26784","0.1245","23951","0.1209","23493","0.1255","UR",
"10","Australia","Philippines","232397","0.9931","171223","0.7962","120369","0.6075","103831","0.5545","UR",
"10","Australia","Poland","45360","0.1938","48674","0.2263","52194","0.2634","58046","0.3100","UR",
"10","Australia","South Korea","98780","0.4221","74537","0.3466","52649","0.2657","38852","0.2075","UR",
"10","Australia","Singapore","54933","0.2347","48597","0.2260","39904","0.2014","33454","0.1787","UR",
"10","Australia","South Africa","162450","0.6942","145670","0.6774","103876","0.5243","79178","0.4229","UR",
"10","Australia","Serbia / Montenegro (fmr Yugoslavia)","44754","0.1912","46518","0.2163","51479","0.2598","60037","0.3206","UR",
"10","Australia","Sri Lanka","109841","0.4694","86411","0.4018","62177","0.3138","53420","0.2853","UR",
"10","Australia","Thailand","66229","0.2830","45451","0.2114","30484","0.1539","23541","0.1257","UR",
"10","Australia","Turkey","32182","0.1375","32844","0.1527","30438","0.1536","29752","0.1589","UR",
"10","Australia","United Kingdom","1087749","4.6483","1098638","5.1088","1035030","5.2239","1033135","5.5175","UR",
"10","Australia","United States of America","86123","0.3680","77005","0.3581","61400","0.3099","53434","0.2854","UR",
"10","Australia","Vietnam","219349","0.9373","185032","0.8604","159635","0.8057","154595","0.8256","UR",
"10","Australia","France","31116","0.1330","24672","0.1147","19108","0.0964","17229","0.0920","UR",
"10","Australia","Argentina","13356","0.0571","11983","0.0557","11353","0.0573","10750","0.0574","UR",
"10","Australia","Austria","15379","0.0657","17007","0.0791","17892","0.0903","19322","0.1032","UR",
"10","Australia","Cambodia","33151","0.1417","28326","0.1317","24508","0.1237","22945","0.1225","UR",
"10","Australia","Chile","26086","0.1115","24935","0.1160","23273","0.1175","23357","0.1247","UR",
"10","Australia","Cyprus","16929","0.0723","18075","0.0841","18369","0.0927","19523","0.1043","UR",
"10","Australia","East Timor","9236","0.0395","9225","0.0429","9293","0.0469","9376","0.0501","UR",
"10","Australia","Hungary","17890","0.0764","19085","0.0887","20139","0.1016","22678","0.1211","UR",
"10","Australia","Iran","58118","0.2484","34120","0.1587","22510","0.1136","18748","0.1001","UR",
"10","Australia","Mauritius","24321","0.1039","23281","0.1083","18143","0.0916","16941","0.0905","UR",
"10","Australia","Portugal","15821","0.0676","15327","0.0713","15181","0.0766","15471","0.0826","UR",
"10","Australia","Romania","14383","0.0615","14049","0.0653","13846","0.0699","12802","0.0684","UR",
"10","Australia","Russian Federation","20429","0.0873","18276","0.0850","15315","0.0773","15039","0.0803","UR",
"10","Australia","Spain","15403","0.0658","13053","0.0607","12258","0.0619","12605","0.0673","UR",
"10","Australia","Taiwan","46826","0.2001","28625","0.1331","24345","0.1229","22422","0.1197","UR",
"10","Australia","Ukraine","13364","0.0571","13987","0.0650","13651","0.0689","14037","0.0750","UR",
"10","Australia","Afghanistan","46804","0.2000","28487","0.1325","16712","0.0843","11265","0.0602","UR",
"10","Australia","Albania","2867","0.0123","2397","0.0111","2012","0.0102","1445","0.0077","UR",
"10","Australia","Bangladesh","41238","0.1762","27806","0.1293","16078","0.0811","9069","0.0484","UR",
"10","Australia","Belarus","1703","0.0073","1602","0.0074","1242","0.0063","1036","0.0055","UR",
"10","Australia","Belgium","6372","0.0272","5759","0.0268","5055","0.0255","4885","0.0261","UR",
"10","Australia","Botswana","1148","0.0049","969","0.0045","865","0.0044","700","0.0037","UR",
"10","Australia","Brazil","27625","0.1180","14510","0.0675","7460","0.0377","4642","0.0248","UR",
"10","Australia","Brunei Darussalam","2753","0.0118","2624","0.0122","2385","0.0120","2069","0.0110","UR",
"10","Australia","Bulgaria","3289","0.0141","2916","0.0136","2673","0.0135","2608","0.0139","UR",
"10","Australia","Burma (Myanmar)","32666","0.1396","21757","0.1012","12354","0.0624","11008","0.0588","UR",
"10","Australia","Colombia","18985","0.0811","11320","0.0526","5684","0.0287","4309","0.0230","UR",
"10","Australia","Congo, Democratic Republic of","4094","0.0175","2577","0.0120","618","0.0031","254","0.0014","UR",
"10","Australia","Cook Islands","6832","0.0292","6091","0.0283","5008","0.0253","4676","0.0250","UR",
"10","Australia","Czech Republic","7709","0.0329","7438","0.0346","7164","0.0362","6960","0.0372","UR",
"10","Australia","Denmark","8801","0.0376","9034","0.0420","8933","0.0451","9012","0.0481","UR",
"10","Australia","Eastern Europe, nfd","4416","0.0189","4766","0.0222","5620","0.0284","6857","0.0366","UR",
"10","Australia","Ecuador","2229","0.0095","1736","0.0081","1507","0.0076","1313","0.0070","UR",
"10","Australia","El Salvador","9566","0.0409","9651","0.0449","9391","0.0474","9684","0.0517","UR",
"10","Australia","Eritrea","4289","0.0183","2842","0.0132","2015","0.0102","1617","0.0086","UR",
